Brand,RAM_GB,Storage_GB,Battery_mAh,Screen_Size_inch,Rear_Camera_MP,Front_Camera_MP,Rating,Reviews,OS,Has_5G,Price_USD
Huawei,3,256,4000,6.7,48,8,4.7,45268,Android,1,755
Oppo,6,64,4500,5.0,108,5,3.1,2198,Android,1,600
Samsung,4,512,4500,4.8,50,16,4.8,64719,Android,1,830
Samsung,8,512,5000,7.0,13,16,4.9,37487,Android,0,845
Realme,8,256,4000,6.6,13,5,3.4,34610,Android,0,605
OnePlus,8,256,6000,5.0,48,13,4.5,58979,Android,1,750
Xiaomi,8,128,4000,5.6,200,5,3.5,51703,Android,1,715
Oppo,4,128,4000,5.0,13,5,3.4,33716,Android,0,490
Xiaomi,8,128,5000,7.0,64,20,4.7,2372,Android,0,640
Xiaomi,6,128,5000,5.7,48,8,4.4,71425,Android,1,685
Huawei,4,256,5000,6.7,12,5,4.1,64419,Android,1,805
Xiaomi,8,512,4000,5.3,13,8,4.1,67837,Android,1,825
Realme,6,128,4000,5.3,48,8,4.5,22017,Android,1,570
Samsung,6,512,3000,5.7,50,13,3.6,32420,Android,1,845
Samsung,4,64,4000,4.9,13,8,3.2,77270,Android,0,605
Apple,3,128,4500,5.1,64,16,4.9,13986,iOS,1,970
Vivo,6,128,4000,5.1,13,8,3.7,24590,Android,1,575
Xiaomi,8,256,5000,6.5,50,16,4.4,96,Android,1,720
Realme,4,128,5000,4.7,64,13,4.3,77810,Android,0,640
Apple,6,128,5000,6.1,64,5,3.6,45895,iOS,0,995
Sony,3,128,5000,6.7,48,32,4.7,4499,Android,1,730
Vivo,12,256,3500,6.4,64,8,3.9,4472,Android,1,770
Nokia,3,128,4000,5.3,48,32,4.0,16923,Android,0,530
Samsung,4,512,4500,4.7,50,16,4.4,74690,Android,0,795
Apple,3,128,5000,6.8,13,16,3.8,46979,iOS,0,980
Xiaomi,12,128,5000,5.2,64,13,4.2,11687,Android,0,645
Oppo,4,128,3000,5.9,13,13,4.2,70203,Android,1,615
Vivo,6,256,5000,6.4,12,13,4.0,40267,Android,1,670
Samsung,6,256,3000,6.3,108,5,4.9,58234,Android,1,835
Huawei,8,64,3500,4.9,50,16,4.7,6248,Android,0,605
OnePlus,16,256,4500,5.0,50,8,3.7,29675,Android,1,825
Asus,12,128,4000,4.8,12,13,4.9,17181,Android,0,700
Apple,8,256,5000,5.4,108,13,3.0,20443,iOS,0,1105
Realme,6,64,4500,6.4,12,5,4.9,64499,Android,1,575
Realme,3,256,6000,7.2,50,32,3.7,71093,Android,0,650
Oppo,8,512,4000,4.9,12,13,3.1,48299,Android,0,700
Samsung,6,512,4500,7.1,13,16,3.9,65403,Android,1,890
Apple,12,128,4500,6.2,50,16,3.1,55080,iOS,1,1110
Asus,4,128,4500,6.1,64,5,3.2,12388,Android,1,725
Motorola,3,64,6000,5.5,50,13,4.2,42548,Android,1,550
Realme,12,1024,5500,5.8,13,13,3.6,36537,Android,0,1015
Realme,6,32,4500,6.0,48,20,3.3,75096,Android,0,525
Nokia,8,64,4500,6.3,50,16,4.8,1695,Android,0,535
Apple,6,64,4500,5.7,12,5,4.5,33999,iOS,1,1020
Samsung,2,512,5000,6.4,64,16,4.4,15298,Android,0,805
Samsung,4,128,6000,4.7,48,20,3.5,13050,Android,1,630
Xiaomi,3,256,4500,6.0,13,8,4.2,56147,Android,1,690
Sony,4,128,4000,5.7,64,13,3.1,25498,Android,1,675
Xiaomi,12,64,4500,5.8,108,32,4.3,12287,Android,1,705
OnePlus,8,128,5000,5.7,48,13,3.2,76023,Android,1,715
Huawei,6,128,4500,5.5,13,13,4.8,67511,Android,1,730
Apple,4,128,4500,7.1,50,32,4.3,29467,iOS,0,990
Xiaomi,4,256,4000,6.2,13,8,4.3,35352,Android,0,590
Samsung,6,512,3500,5.6,64,16,3.4,3670,Android,1,870
Realme,6,64,3000,5.0,13,13,4.4,19621,Android,0,545
Sony,8,64,4500,5.8,50,13,4.6,74540,Android,1,820
Apple,8,64,3000,6.6,13,5,4.0,64952,iOS,0,965
Realme,3,256,3500,5.7,108,16,4.9,26262,Android,1,755
Oppo,8,64,4500,6.5,13,13,3.1,40993,Android,0,580
Samsung,6,256,4500,5.7,48,32,5.0,15800,Android,0,695
Huawei,8,512,4500,5.1,64,13,3.7,62910,Android,0,745
Apple,4,64,4000,5.3,50,8,5.0,588,iOS,1,900
Apple,6,128,3000,5.6,108,16,4.3,35831,iOS,1,1065
Xiaomi,2,256,4000,6.7,64,8,3.0,69025,Android,1,600
Oppo,8,128,2500,6.1,50,32,4.5,76798,Android,1,575
Huawei,6,64,4500,5.5,50,8,3.3,22004,Android,1,560
Xiaomi,3,256,4500,5.0,64,5,4.2,20995,Android,1,675
Xiaomi,4,128,4000,5.8,12,20,4.2,41490,Android,1,610
Samsung,6,128,4000,5.6,13,13,4.0,3712,Android,1,625
Motorola,4,512,4500,7.0,12,5,4.8,1587,Android,1,780
Apple,4,128,5000,7.0,48,5,4.3,1539,iOS,1,1045
Xiaomi,16,256,4500,5.7,50,13,4.9,55327,Android,1,845
OnePlus,4,128,4000,6.8,48,16,3.5,68457,Android,1,750
Apple,12,128,6000,6.4,48,8,4.0,70223,iOS,1,1175
Samsung,6,128,4500,6.5,108,16,4.1,73223,Android,0,770
Oppo,4,256,3000,5.0,50,5,4.8,5432,Android,1,615
Oppo,3,512,5000,5.7,200,13,3.7,37866,Android,0,725
Samsung,12,128,4500,6.7,48,16,4.8,55332,Android,0,800
Nokia,8,128,5000,5.1,50,13,4.1,73981,Android,1,680
Samsung,3,256,5000,6.0,48,5,3.4,64373,Android,1,765
Motorola,4,64,4000,7.1,108,16,4.9,37560,Android,1,700
Motorola,4,128,5500,5.9,64,16,4.0,70161,Android,0,510
Motorola,12,128,4000,6.0,48,13,3.4,17312,Android,1,700
Huawei,8,128,5000,6.4,64,16,3.8,66120,Android,0,665
Realme,2,512,4500,5.9,64,20,3.8,62973,Android,1,790
OnePlus,2,256,4500,4.9,108,16,3.5,74810,Android,1,725
Apple,4,128,6000,6.8,64,13,3.7,43760,iOS,1,1060
Samsung,8,512,5000,5.8,12,32,4.3,44199,Android,0,850
Xiaomi,4,128,4000,5.9,13,13,4.8,43118,Android,1,660
Samsung,3,128,3000,6.2,48,5,3.5,72544,Android,1,735
Huawei,6,128,3500,5.1,48,16,4.5,65166,Android,1,720
Samsung,8,512,4500,7.0,48,8,5.0,51892,Android,0,955
Asus,6,256,5000,5.0,13,13,4.1,41882,Android,1,705
Xiaomi,3,32,3500,6.2,50,32,4.9,7646,Android,1,650
Asus,4,128,2500,5.6,12,5,4.6,39640,Android,0,535
Vivo,8,1024,5000,5.4,13,5,4.5,11404,Android,1,965
Sony,4,512,6000,5.3,200,13,4.5,62610,Android,1,1080
Oppo,3,128,4000,5.8,48,16,4.0,38685,Android,0,500
Vivo,6,128,4500,5.6,48,13,4.3,7620,Android,0,545
Nokia,8,128,4500,5.5,48,8,3.7,15535,Android,1,595
Apple,4,256,4500,7.2,64,13,3.8,79408,iOS,0,995
Samsung,4,128,5000,5.8,12,13,3.8,76991,Android,1,710
Motorola,6,1024,4000,5.0,108,16,4.1,11709,Android,1,1010
Oppo,6,256,4500,5.0,64,5,4.3,5991,Android,0,540
Samsung,6,64,5500,7.2,108,32,3.7,26526,Android,1,780
Apple,4,128,5000,5.0,50,16,3.3,1377,iOS,0,875
Apple,6,64,4500,5.6,13,5,4.3,68362,iOS,0,995
Samsung,8,128,3000,4.7,50,8,3.0,75677,Android,1,675
Motorola,2,512,5000,6.3,50,5,3.9,58231,Android,0,655
Samsung,8,64,4000,6.7,108,13,3.2,62916,Android,0,685
Oppo,12,128,4000,6.6,48,32,4.3,63001,Android,1,790
Samsung,12,128,3500,6.9,64,5,4.9,62915,Android,0,830
Realme,6,256,4500,7.1,50,20,3.6,30247,Android,1,715
Motorola,8,1024,3000,4.8,200,13,4.7,34124,Android,0,1015
Oppo,12,64,4500,4.8,108,32,3.7,74965,Android,0,690
Vivo,4,128,3500,4.9,12,13,4.3,54751,Android,0,510
Huawei,16,512,4000,7.1,13,16,4.0,4140,Android,1,900
Realme,12,1024,5500,5.6,50,16,4.4,61757,Android,0,1080
Samsung,4,512,3000,6.1,12,13,3.4,65176,Android,0,755
Samsung,6,256,4000,5.5,48,13,4.2,28337,Android,1,680
Sony,6,1024,3000,5.1,50,8,4.9,17110,Android,0,1055
Oppo,4,128,4000,5.9,50,32,4.9,56195,Android,0,625
OnePlus,16,256,5500,7.0,64,16,4.9,59200,Android,1,1015
Xiaomi,3,1024,4500,4.7,13,32,3.8,27525,Android,1,895
Xiaomi,4,128,4500,5.5,108,13,4.4,10850,Android,1,680
Samsung,16,64,5500,5.2,48,5,3.9,48820,Android,0,755
Huawei,2,256,5000,5.7,64,13,3.9,41792,Android,0,635
Huawei,4,128,4500,6.1,12,32,3.9,31254,Android,0,610
Samsung,12,256,5000,6.0,48,20,4.7,23039,Android,1,895
Xiaomi,16,64,4000,4.9,50,13,3.2,22276,Android,0,695
Vivo,4,32,5000,6.9,50,20,3.1,28578,Android,0,585
Motorola,2,256,4000,6.1,64,16,4.1,49311,Android,0,635
Apple,3,256,4000,6.4,48,16,4.7,18492,iOS,1,1000
Oppo,8,128,5000,4.9,13,16,4.6,100,Android,0,520
Xiaomi,8,256,2500,5.7,12,20,4.0,54435,Android,1,665
Samsung,6,64,5000,4.8,48,20,3.4,65878,Android,1,660
Xiaomi,16,64,3000,7.0,12,5,3.8,68745,Android,1,715
Samsung,4,128,4000,5.1,48,32,3.1,31531,Android,0,660
Nokia,12,512,5500,5.6,48,13,4.2,69398,Android,0,840
Huawei,4,256,4500,4.9,50,32,3.9,64478,Android,0,650
Xiaomi,4,64,5500,5.4,108,16,4.7,22011,Android,0,565
Xiaomi,4,256,5500,5.9,50,13,3.6,23947,Android,0,600
Oppo,4,256,4000,7.0,12,20,3.8,16201,Android,1,675
OnePlus,4,128,4000,6.4,50,16,3.8,68518,Android,0,630
Asus,8,64,4500,7.0,64,16,4.7,29945,Android,0,665
Samsung,4,64,4000,5.6,48,13,3.7,65533,Android,0,595
Nokia,4,1024,4500,7.2,64,8,4.0,5461,Android,0,935
Apple,6,256,5000,6.7,12,13,3.2,6282,iOS,0,955
Nokia,8,128,5000,5.9,64,20,4.4,61262,Android,1,645
Samsung,6,256,4500,5.2,48,8,3.5,6494,Android,1,735
Oppo,4,64,3500,4.7,48,16,4.1,38288,Android,1,560
Realme,8,128,4500,6.7,48,8,4.2,48037,Android,1,660
Realme,3,512,3500,4.9,48,8,3.7,11093,Android,0,605
Oppo,6,256,5000,4.9,48,5,4.5,20873,Android,1,745
Asus,3,128,4000,5.3,12,8,3.5,35464,Android,1,545
Vivo,8,512,5500,6.2,64,8,3.2,60065,Android,0,810
Huawei,6,128,4500,5.3,50,13,3.7,42992,Android,1,715
Apple,8,1024,5500,6.8,64,16,4.0,45262,iOS,1,1455
Samsung,3,128,4500,6.3,12,20,3.9,2072,Android,0,580
Realme,8,128,4500,6.4,64,13,3.4,31714,Android,0,585
Oppo,6,256,5500,5.6,12,16,3.2,79306,Android,0,560
Samsung,6,64,4000,5.2,50,16,3.3,32197,Android,0,540
Samsung,4,64,4000,6.2,200,16,3.4,25581,Android,0,685
Motorola,8,256,4500,6.4,50,16,4.0,55920,Android,1,765
Samsung,4,256,3000,5.2,50,20,3.2,57595,Android,0,685
Xiaomi,4,128,4000,5.3,48,32,3.3,1071,Android,1,560
Samsung,8,64,4500,4.9,12,13,3.3,76288,Android,0,670
Apple,6,128,4500,5.5,12,13,3.7,77660,iOS,0,970
Huawei,16,128,5000,4.9,50,13,4.7,32261,Android,1,875
Apple,6,512,5000,6.7,13,8,3.0,42837,iOS,1,1160
Apple,4,256,4000,7.0,13,13,4.0,58218,iOS,0,980
Xiaomi,4,128,4500,6.7,200,20,3.4,54755,Android,0,715
Realme,6,256,3500,6.5,48,32,4.5,68728,Android,1,835
Samsung,4,256,5500,5.2,108,20,4.2,8861,Android,0,770
Xiaomi,4,256,5000,6.2,50,32,3.4,69848,Android,1,660
Samsung,12,128,5000,6.6,13,16,4.9,78791,Android,0,745
Xiaomi,4,64,5000,6.1,50,20,3.9,4469,Android,0,505
Samsung,6,512,4000,5.9,12,16,4.2,26063,Android,0,820
Apple,12,128,4000,4.9,13,16,3.1,40987,iOS,0,1005
Samsung,8,256,5000,5.9,64,13,4.1,68276,Android,1,865
Sony,12,128,3000,7.2,48,16,4.8,64588,Android,1,855
Samsung,6,64,4000,6.3,12,16,4.3,15445,Android,1,645
Vivo,8,256,5000,4.7,200,16,3.4,63684,Android,1,780
Samsung,2,128,5000,6.9,108,20,3.8,51252,Android,1,725
Xiaomi,6,32,3500,5.7,50,16,3.9,79302,Android,0,595
OnePlus,4,128,3500,6.5,13,20,4.3,37055,Android,1,680
Apple,8,128,4000,4.7,64,16,3.9,42486,iOS,0,910
Huawei,4,256,3000,6.5,108,16,4.3,39595,Android,1,695
Xiaomi,4,64,4500,5.7,64,13,4.9,67419,Android,1,685
Samsung,8,256,4500,7.2,64,8,4.5,28768,Android,1,840
Apple,6,64,3500,6.3,13,8,4.2,36282,iOS,1,940
Xiaomi,4,1024,5000,5.7,50,32,3.1,71536,Android,1,970
Nokia,12,128,4500,6.3,64,8,4.5,63887,Android,1,815
Samsung,12,512,5000,5.0,12,16,5.0,31446,Android,1,900
Samsung,2,256,5000,6.7,12,8,3.0,40316,Android,1,690
Oppo,4,64,4000,5.4,50,13,3.4,76481,Android,1,580
Huawei,8,128,3500,6.6,50,8,4.8,1001,Android,1,675
OnePlus,2,128,4500,5.0,12,13,4.4,75914,Android,0,575
Vivo,4,128,5000,6.6,64,20,4.0,41657,Android,0,570
Samsung,8,128,4000,6.0,48,20,4.4,64451,Android,1,800
Vivo,6,64,5000,6.7,48,13,3.0,10206,Android,1,580
Huawei,2,64,2500,7.1,12,8,4.0,53068,Android,1,545
Oppo,6,128,4500,5.8,12,13,5.0,55137,Android,1,700
Vivo,8,256,5500,6.4,200,20,3.8,19950,Android,1,730
Nokia,12,64,3500,4.9,108,32,4.0,10500,Android,0,605
Samsung,16,128,5000,6.0,13,8,3.6,5268,Android,0,770
Samsung,4,512,4500,6.2,12,13,3.6,24226,Android,1,875
Huawei,2,32,5000,5.9,50,20,4.9,55660,Android,0,645
Apple,4,128,6000,5.2,48,13,4.9,47776,iOS,0,985
Oppo,8,256,5000,6.4,64,20,4.7,26178,Android,1,805
Xiaomi,4,128,4000,7.0,12,16,4.8,35883,Android,1,675
Xiaomi,8,128,2500,6.6,13,13,3.2,37481,Android,1,640
Realme,12,128,3000,6.6,48,16,4.8,16600,Android,0,655
Apple,8,512,4500,6.8,13,16,4.2,42787,iOS,1,1215
Oppo,3,64,3000,5.9,200,20,4.0,66356,Android,1,670
Huawei,8,32,5500,6.3,50,13,4.6,12422,Android,1,665
Asus,6,256,4500,6.4,108,13,3.3,50291,Android,0,690
Samsung,4,128,4500,6.6,50,5,4.4,22877,Android,1,650
Xiaomi,12,128,5500,6.9,48,5,3.1,21790,Android,0,680
Oppo,12,128,3500,6.9,50,13,3.5,66998,Android,1,740
Samsung,4,128,3500,6.7,13,16,3.4,37218,Android,0,580
Vivo,6,512,5000,5.7,50,20,3.7,61041,Android,1,790
Realme,4,256,4500,5.9,64,20,3.2,37739,Android,1,710
Nokia,6,64,4500,6.9,12,16,4.4,24977,Android,1,655
Nokia,4,64,4000,4.9,64,8,4.6,15351,Android,1,535
OnePlus,3,64,5000,6.7,200,5,4.6,42599,Android,1,705
Xiaomi,6,512,4000,6.1,12,13,3.4,41792,Android,1,765
Vivo,3,32,3500,6.0,108,16,4.6,17589,Android,1,635
Oppo,6,256,4500,5.8,50,8,4.5,28243,Android,1,655
Samsung,6,64,4500,6.1,13,8,3.1,79816,Android,1,685
Samsung,12,1024,6000,4.8,12,5,4.6,62113,Android,1,1200
Nokia,6,256,5000,5.9,64,20,4.8,10254,Android,1,775
Xiaomi,4,128,5000,6.6,200,20,3.9,45878,Android,1,640
Xiaomi,6,128,4000,4.9,13,16,3.4,21133,Android,0,480
Oppo,2,256,5500,6.7,50,5,5.0,31112,Android,0,630
Apple,12,256,4000,5.7,50,8,4.8,28826,iOS,0,1055
Realme,3,128,5000,5.8,108,32,4.3,1426,Android,0,615
Oppo,12,512,5000,5.5,12,13,5.0,22012,Android,1,765
Samsung,6,256,4000,6.9,50,16,3.2,56674,Android,0,705
Realme,6,512,4500,5.4,13,8,3.0,61108,Android,0,715
Oppo,8,128,5500,6.6,48,13,4.0,58648,Android,0,600
Oppo,8,256,4000,7.1,13,13,3.5,44667,Android,0,795
Asus,6,64,4500,5.2,64,13,3.9,40444,Android,1,605
Samsung,6,128,5500,6.4,48,16,4.0,72760,Android,1,715
Apple,8,512,4500,6.4,108,13,4.8,48275,iOS,1,1255
Realme,6,256,5500,4.9,50,20,3.1,43538,Android,0,600
Apple,8,64,4000,6.4,64,8,4.3,5159,iOS,0,925
Sony,6,32,5000,6.9,48,20,4.5,3626,Android,1,730
Huawei,6,128,4000,7.2,12,13,4.0,17535,Android,0,615
Apple,12,128,3000,5.0,64,13,3.6,39351,iOS,0,1010
Sony,6,512,4000,4.8,50,16,4.2,70690,Android,0,810
Realme,6,256,4500,5.1,48,32,4.6,70002,Android,1,725
Xiaomi,4,128,5000,6.0,108,13,3.9,50344,Android,0,595
Sony,6,32,4500,6.0,48,20,3.2,26482,Android,1,620
Apple,12,128,4000,6.7,12,32,4.9,75317,iOS,1,1150
OnePlus,2,128,5000,5.8,64,16,4.6,62420,Android,1,680
Vivo,6,128,3500,6.7,48,8,3.6,38433,Android,1,640
OnePlus,8,128,5000,6.1,48,20,4.6,64344,Android,0,710
Xiaomi,6,64,5500,5.1,50,8,4.4,35132,Android,1,565
Oppo,16,512,4000,4.8,12,32,3.0,54381,Android,1,945
Samsung,4,256,3500,7.0,50,13,3.4,78738,Android,1,780
OnePlus,8,256,2500,7.2,13,8,4.6,62727,Android,1,860
Samsung,8,128,5000,5.2,108,5,4.1,29485,Android,0,690
Xiaomi,6,128,5000,6.0,50,13,3.9,34769,Android,1,740
Xiaomi,3,128,5000,6.0,48,16,4.8,19747,Android,0,490
Motorola,8,128,4500,5.7,50,13,4.6,74444,Android,0,665
Samsung,4,256,4500,5.7,48,32,3.7,53991,Android,1,780
Motorola,8,512,4500,6.1,13,13,4.2,41586,Android,1,810
Samsung,3,512,5000,5.2,200,5,3.9,15057,Android,0,815
Realme,6,256,5000,4.9,64,13,4.9,33671,Android,0,610
Samsung,6,64,5000,5.3,108,16,4.5,11518,Android,1,715
Nokia,8,256,4500,6.7,12,16,4.1,14870,Android,0,600
Realme,3,256,5500,7.1,64,16,4.9,6953,Android,0,635
Sony,8,64,4000,5.8,64,16,5.0,13612,Android,1,790
Samsung,3,32,4000,5.3,12,20,3.5,20623,Android,0,565
Apple,4,128,3500,4.8,13,13,3.5,35104,iOS,0,880
Oppo,6,128,4500,7.1,200,13,4.7,74602,Android,1,770
Samsung,12,64,4500,5.6,48,8,3.5,23108,Android,1,740
Samsung,8,256,4500,6.9,64,16,3.2,34643,Android,1,830
Huawei,8,128,4500,5.5,13,13,3.8,2710,Android,0,610
Realme,8,512,4000,6.2,12,32,3.6,38181,Android,1,765
Apple,3,256,3500,5.1,64,20,4.5,45398,iOS,1,1105
Xiaomi,4,32,3000,7.1,108,32,3.5,56196,Android,0,590
OnePlus,8,512,3000,6.0,50,13,3.8,20018,Android,1,830
Vivo,8,128,4500,5.3,48,13,3.7,2555,Android,0,615
Xiaomi,6,256,5000,6.3,12,20,3.8,53327,Android,1,725
OnePlus,8,128,5000,5.5,108,16,3.7,52977,Android,1,795
Samsung,3,64,5000,6.2,50,5,4.5,37214,Android,0,605
Xiaomi,4,128,4000,4.8,50,16,4.0,22153,Android,0,555
Xiaomi,8,64,4500,5.5,48,5,4.0,58753,Android,0,635
Huawei,6,128,4000,6.0,13,20,3.7,58815,Android,0,620
Oppo,6,256,3500,5.4,64,5,4.9,38172,Android,1,745
Motorola,6,256,3500,5.3,48,20,4.3,26358,Android,0,645
Samsung,8,1024,5000,5.5,50,13,3.2,63848,Android,1,1060
Asus,3,256,4000,6.3,50,16,3.4,29433,Android,1,680
Asus,6,64,4500,6.6,50,13,4.1,76445,Android,1,695
Huawei,12,256,4500,4.9,50,16,4.4,7396,Android,1,750
Nokia,2,128,4000,5.6,48,13,4.4,11142,Android,1,530
Nokia,2,256,3500,4.7,108,13,4.3,53934,Android,1,620
Samsung,16,256,4000,5.6,48,20,3.5,51971,Android,1,905
Motorola,6,256,4000,5.9,50,8,4.7,69196,Android,0,625
Realme,6,32,5000,6.7,50,13,4.0,65318,Android,0,570
Vivo,6,64,5000,5.7,108,8,3.7,66473,Android,1,710
Asus,12,64,4000,6.2,64,16,4.8,61759,Android,1,710
Apple,6,64,4500,5.8,48,13,3.4,5514,iOS,1,955
Asus,4,32,5000,6.4,64,5,3.2,21911,Android,0,515
Asus,8,64,3000,5.7,50,16,4.4,70903,Android,0,580
Motorola,6,128,5000,5.4,13,20,4.4,5226,Android,0,545
Apple,16,256,6000,6.3,13,13,4.4,36973,iOS,0,1180
Samsung,6,256,4500,5.8,64,16,3.4,77937,Android,0,765
Xiaomi,8,32,4500,7.1,12,13,4.1,44125,Android,0,615
Motorola,4,128,5000,6.6,108,8,3.8,15204,Android,0,630
OnePlus,6,512,3500,5.9,48,16,3.5,9559,Android,1,820
Apple,6,128,4000,5.8,200,16,3.6,33833,iOS,1,1155
Xiaomi,6,128,3000,5.1,108,8,4.4,17096,Android,0,550
Oppo,6,256,5000,6.3,64,16,3.8,8915,Android,0,645
Xiaomi,8,128,6000,6.3,48,16,3.9,12151,Android,0,645
Motorola,12,32,4000,5.0,12,20,4.8,52199,Android,0,545
Xiaomi,6,128,2500,6.3,48,20,3.5,6064,Android,1,575
Apple,4,256,3500,6.1,50,16,4.8,46507,iOS,1,1050
Xiaomi,2,128,5500,7.2,108,16,3.5,39489,Android,0,565
Vivo,16,128,5500,4.8,50,32,4.8,46539,Android,1,810
Oppo,4,32,5000,5.4,12,13,3.8,49756,Android,1,625
Nokia,6,128,4000,4.9,64,8,3.9,29620,Android,0,500
Apple,6,128,4000,7.1,48,8,4.0,18724,iOS,1,1070
Sony,4,64,5000,4.9,50,16,3.5,42961,Android,1,675
OnePlus,8,256,4500,4.9,48,16,4.3,6653,Android,0,615
Apple,4,128,4500,7.1,50,32,4.0,77096,iOS,0,970
Realme,4,64,3500,4.8,12,32,3.8,17579,Android,0,455
Asus,12,256,5000,4.8,48,16,3.8,8598,Android,1,770
Motorola,4,256,5500,4.9,12,13,3.4,69590,Android,1,695
Realme,8,128,4500,7.2,64,8,3.4,36457,Android,0,575
Samsung,6,64,4000,5.1,50,13,3.9,20457,Android,1,735
Apple,3,128,4500,5.7,48,13,3.8,12425,iOS,0,945
Xiaomi,6,64,4500,6.2,50,13,4.0,78376,Android,1,695
Vivo,16,64,4500,7.1,50,20,4.2,15701,Android,1,685
Oppo,4,64,4000,6.2,48,16,4.1,59460,Android,0,630
Xiaomi,6,256,3000,5.5,48,8,4.0,68599,Android,1,700
Apple,12,128,5500,5.2,108,16,3.3,16238,iOS,1,1150
Samsung,4,64,4500,6.8,48,16,4.3,35715,Android,1,725
Realme,12,64,4000,6.6,200,8,3.7,56196,Android,1,800
Apple,12,256,4500,5.5,200,16,3.1,45708,iOS,1,1180
Samsung,8,256,4000,6.1,12,13,3.2,67218,Android,0,760
Apple,6,128,4500,6.2,48,13,4.1,10588,iOS,1,1065
Samsung,4,256,5500,5.9,13,13,3.7,38613,Android,1,790
OnePlus,4,256,3000,6.7,48,13,4.1,65270,Android,1,665
Apple,6,256,4000,5.2,13,16,4.0,44212,iOS,0,910
Samsung,6,256,3500,6.3,13,13,3.5,27238,Android,0,605
Apple,8,256,4000,5.1,13,13,3.1,51954,iOS,1,1090
Motorola,6,256,5500,5.5,108,13,3.9,17580,Android,1,695
Vivo,8,32,4000,6.6,48,8,3.3,8863,Android,1,565
Huawei,6,128,4000,7.1,50,16,3.2,51059,Android,1,745
Motorola,12,256,4000,7.0,64,5,4.1,57172,Android,1,880
Nokia,4,64,3500,6.8,12,16,4.4,54943,Android,0,580
OnePlus,6,128,3500,6.2,48,8,4.2,3543,Android,0,555
Xiaomi,8,512,5000,5.5,50,8,3.9,26779,Android,1,785
Oppo,12,128,4500,5.6,50,13,4.3,1107,Android,1,700
Apple,3,1024,5000,7.2,50,32,5.0,35330,iOS,0,1395
Apple,8,512,4000,6.7,48,13,3.8,40566,iOS,0,1095
Oppo,16,32,2500,4.9,13,13,3.0,21487,Android,1,655
Samsung,8,128,5000,5.8,13,32,4.8,75167,Android,0,840
Huawei,6,128,4000,6.8,108,5,4.2,46923,Android,1,835
Oppo,2,256,4500,5.1,12,16,3.2,9449,Android,1,600
Nokia,6,64,3500,6.4,12,13,3.2,38022,Android,1,545
Samsung,12,128,4000,6.5,50,32,4.8,75081,Android,0,745
Samsung,4,128,3000,6.3,13,8,4.0,26261,Android,0,615
Xiaomi,16,256,4500,5.5,50,16,4.0,65052,Android,1,805
Vivo,6,512,4000,5.7,64,13,4.4,3516,Android,0,665
Vivo,6,128,5000,6.0,48,16,4.9,79851,Android,0,700
Motorola,4,64,4500,5.6,13,8,3.6,65707,Android,0,540
Huawei,3,128,4500,5.7,12,20,3.1,36460,Android,0,495
Realme,8,256,4000,5.3,64,32,3.2,27037,Android,1,715
Oppo,3,128,4500,5.6,13,20,4.2,12240,Android,1,550
Xiaomi,8,128,5000,5.1,48,13,4.3,61733,Android,0,695
Oppo,3,512,4500,6.7,50,8,3.6,23997,Android,0,680
Huawei,12,128,5000,4.8,64,20,3.0,39870,Android,1,725
Apple,8,1024,4000,5.2,48,20,3.2,5517,iOS,1,1295
Nokia,6,256,4500,5.7,12,13,3.3,30357,Android,1,600
Xiaomi,8,512,6000,5.1,108,13,3.9,59113,Android,0,805
Apple,6,128,2500,6.2,50,16,3.3,62943,iOS,1,945
Huawei,6,512,5500,6.3,48,20,4.5,21193,Android,1,870
Realme,3,256,5000,5.2,13,20,4.4,9246,Android,1,665
Realme,2,512,3500,5.1,64,16,3.3,56804,Android,0,665
Huawei,4,256,4500,6.3,50,16,4.2,46741,Android,0,625
Xiaomi,12,128,4500,5.5,48,13,3.2,33392,Android,0,620
Oppo,3,32,4000,5.2,64,20,4.0,21245,Android,1,485
Oppo,8,128,4500,6.2,48,13,3.2,60696,Android,1,695
Xiaomi,8,128,3000,6.4,50,32,4.8,52238,Android,1,695
Samsung,4,256,5500,5.8,13,16,3.4,78811,Android,0,660
Samsung,6,128,5000,6.4,13,13,4.7,11349,Android,1,755
Apple,8,64,4000,5.9,64,13,5.0,63234,iOS,0,1105
Asus,16,64,4500,5.2,13,8,4.8,76780,Android,1,820
Samsung,6,256,5000,5.7,50,5,3.7,58750,Android,0,750
Vivo,12,64,4500,5.0,48,16,4.1,69134,Android,0,635
Oppo,4,64,3500,5.3,64,5,4.2,64052,Android,0,575
Samsung,4,128,3000,5.1,64,32,3.4,67891,Android,1,725
Vivo,12,256,5500,6.3,64,16,4.3,41561,Android,0,770
Samsung,4,512,3000,5.3,50,13,4.8,46134,Android,0,690
Vivo,6,256,5000,6.9,64,13,3.6,29228,Android,0,645
Realme,8,256,5000,7.2,108,13,4.5,69169,Android,1,870
Motorola,12,32,5000,5.8,48,16,3.0,31623,Android,1,675
Vivo,6,256,4500,7.2,12,13,3.6,594,Android,1,695
Nokia,4,128,4500,6.1,50,13,4.8,15144,Android,0,530
Samsung,8,256,4000,6.7,13,5,4.4,12257,Android,1,750
Nokia,8,128,4000,6.1,108,20,3.9,71308,Android,1,630
